canonical_smiles,ROS,CTX
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.0,0.0
CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.0,0.0
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0.0,0.0
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,0.0,0.0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.0,1.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.0,1.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.0,0.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(=CNN5CCN(C)CC5)c(O)c4c3C2=O)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0.0,1.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.0,0.0
COc1ccccc1Oc1c(OCCO)[nH]c(-c2ncccn2)nc1=NS(=O)(=O)c1ccc(C(C)(C)C)cc1,0.0,0.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,0.0,1.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,1.0,1.0
Cc1c[nH]c(=NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,0.0,0.0
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0.0,1.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0.0,0.0
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.0,0.0
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,0.0,0.0
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,0.0,0.0
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0.0,1.0
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0.0,1.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1.0,1.0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.0,0.0
N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,0.0,0.0
N=c1[nH]c(=NC2CC2)c2ncn(C3C=CC(CO)C3)c2[nH]1,0.0,0.0
N=c1ccn(C2CCC(CO)O2)c(=O)[nH]1,0.0,0.0
N=c1ccn(C2CSC(CO)O2)c(=O)[nH]1,0.0,0.0
NC(=O)N1c2ccccc2C=Cc2ccccc21,0.0,0.0
NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,0.0,1.0
NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.0,0.0
NNC(=O)c1ccncc1,0.0,0.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.0,0.0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.0,1.0
O=c1[nH]c(=O)n(C2OC(CO)C(O)C2F)cc1I,0.0,0.0
O=c1[nH]c(O)cn1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1,0.0,0.0
O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,0.0,0.0
